skill,num_postings,pct_postings,num_occurence,pct_occurence,is_skill
algorithm,18,0.0431,23,0.0066,
algorithm design,2,0.0048,3,9.00E-04,y
algorithm design proposals,1,0.0024,1,3.00E-04,
algorithm development,1,0.0024,3,9.00E-04,y
algorithms,15,0.0359,11,0.0032,y
algorithms preferred,1,0.0024,2,6.00E-04,
alteryx,1,0.0024,5,0.0014,y
amazon,1,0.0024,3,9.00E-04,
amazon web,1,0.0024,2,6.00E-04,
amazon web services,1,0.0024,1,3.00E-04,y
ambiguous,2,0.0048,6,0.0017,
ambiguous stakeholder,1,0.0024,4,0.0012,
ambiguous stakeholder challenges,1,0.0024,2,6.00E-04,
analyses clearly,1,0.0024,3,9.00E-04,
analysis including,1,0.0024,6,0.0017,
analysis including workshops,1,0.0024,3,9.00E-04,
analysis research,1,0.0024,6,0.0017,
analysis research tools,1,0.0024,3,9.00E-04,
analysis results,2,0.0048,3,9.00E-04,
analysis results effectively,1,0.0024,1,3.00E-04,
analysis skills,1,0.0024,3,9.00E-04,y
analysis techniques,1,0.0024,2,6.00E-04,y
analysis tools,3,0.0072,6,0.0017,y
analysts,1,0.0024,2,6.00E-04,
analytic,36,0.0861,55,0.0158,
analytic solutions,1,0.0024,2,6.00E-04,
analytical,14,0.0335,20,0.0058,
analytical capabilities,1,0.0024,2,6.00E-04,y
analytical efforts,1,0.0024,1,3.00E-04,
analytical methodologies,1,0.0024,2,6.00E-04,
analytical packages,1,0.0024,2,6.00E-04,y
analytical skills,1,0.0024,2,6.00E-04,y
analytical tool,2,0.0048,5,0.0014,
analytical tools,1,0.0024,4,0.0012,y
analytical tools like,1,0.0024,3,9.00E-04,
analytical tools like power,1,0.0024,2,6.00E-04,
analytical tools like power bi,1,0.0024,1,3.00E-04,
analytics,22,0.0526,31,0.0089,y
analytics data,1,0.0024,4,0.0012,
analytics data structure,1,0.0024,2,6.00E-04,
analytics experience,1,0.0024,3,9.00E-04,y
analytics relevant,1,0.0024,4,0.0012,
analytics solution,1,0.0024,2,6.00E-04,
analyze synthesize,1,0.0024,4,0.0012,
analyze synthesize data,1,0.0024,2,6.00E-04,
analyzing data,2,0.0048,2,6.00E-04,y
analyzing large,1,0.0024,3,9.00E-04,
analyzing large data,1,0.0024,2,6.00E-04,y
analyzing large data sets,1,0.0024,1,3.00E-04,y
anomaly,1,0.0024,4,0.0012,
anomaly detection,1,0.0024,2,6.00E-04,y
answering,3,0.0072,9,0.0026,
answering complex,1,0.0024,3,9.00E-04,
answering complex business,1,0.0024,2,6.00E-04,
answering complex business questions,1,0.0024,1,3.00E-04,y
answering conversational,1,0.0024,4,0.0012,
answering conversational ai,1,0.0024,2,6.00E-04,
apache,2,0.0048,3,9.00E-04,y
apache airflow,1,0.0024,1,3.00E-04,y
apache hadoop,1,0.0024,1,3.00E-04,
apis,2,0.0048,4,0.0012,
application,5,0.012,6,0.0017,
application domains,1,0.0024,1,3.00E-04,
application process,1,0.0024,2,6.00E-04,
applications,2,0.0048,1,3.00E-04,
applied,6,0.0144,10,0.0029,
applied knowledge,1,0.0024,1,3.00E-04,
applied machine,1,0.0024,2,6.00E-04,
applied machine learning,1,0.0024,1,3.00E-04,y
applied mathematics,3,0.0072,1,3.00E-04,y
applied statistics,1,0.0024,4,0.0012,y
applied statistics skills,1,0.0024,2,6.00E-04,
apply,5,0.012,12,0.0035,
apply knowledge,1,0.0024,1,3.00E-04,
apply state,1,0.0024,1,3.00E-04,
applying,3,0.0072,9,0.0026,
applying big,1,0.0024,3,9.00E-04,
applying big data,1,0.0024,2,6.00E-04,y
applying big data technologies,1,0.0024,1,3.00E-04,
applying statistical,2,0.0048,4,0.0012,
applying statistical tests,1,0.0024,2,6.00E-04,
approaches,1,0.0024,1,3.00E-04,
architect,8,0.0191,16,0.0046,
architect highly,1,0.0024,4,0.0012,
architect highly scalable,1,0.0024,3,9.00E-04,
architect highly scalable distributed,1,0.0024,2,6.00E-04,
architect highly scalable distributed systems,1,0.0024,1,3.00E-04,y
architecture,7,0.0167,11,0.0032,y
architectures,3,0.0072,9,0.0026,
area,7,0.0167,21,0.006,
area including,1,0.0024,4,0.0012,
area including theory,1,0.0024,2,6.00E-04,
areas,6,0.0144,15,0.0043,
areas across,1,0.0024,2,6.00E-04,
areas include,1,0.0024,6,0.0017,
areas include geospatial,1,0.0024,3,9.00E-04,
arena,1,0.0024,1,3.00E-04,
argo,1,0.0024,2,6.00E-04,y
argo workflow,1,0.0024,1,3.00E-04,
arranged,1,0.0024,1,3.00E-04,
array,1,0.0024,3,9.00E-04,
array data,1,0.0024,2,6.00E-04,
array data sources,1,0.0024,1,3.00E-04,
arrive,1,0.0024,1,3.00E-04,
art,14,0.0335,29,0.0083,
art methods,1,0.0024,1,3.00E-04,
articulating,1,0.0024,3,9.00E-04,
articulating product,1,0.0024,2,6.00E-04,
articulating product questions,1,0.0024,1,3.00E-04,
artificial,1,0.0024,2,6.00E-04,
artificial intelligence,1,0.0024,1,3.00E-04,y
assessment,1,0.0024,1,3.00E-04,
asset,2,0.0048,3,9.00E-04,
assignments,1,0.0024,2,6.00E-04,
assist,4,0.0096,5,0.0014,
assist students,1,0.0024,1,3.00E-04,
assistance,1,0.0024,2,6.00E-04,
assists,1,0.0024,1,3.00E-04,
associates,1,0.0024,1,3.00E-04,
aster,17,0.0407,11,0.0032,
aster degree,1,0.0024,2,6.00E-04,
atmosphere,1,0.0024,2,6.00E-04,
attention,3,0.0072,3,9.00E-04,
audience,5,0.012,6,0.0017,
audiences,3,0.0072,3,9.00E-04,
auditable,1,0.0024,1,3.00E-04,
auditors,1,0.0024,1,3.00E-04,
automate,4,0.0096,12,0.0035,
automate data,1,0.0024,2,6.00E-04,y
automate data extraction,1,0.0024,1,3.00E-04,y
automate tracking,1,0.0024,2,6.00E-04,y
automate tracking functionality,1,0.0024,1,3.00E-04,
automated,1,0.0024,6,0.0017,
automated system,1,0.0024,4,0.0012,
automated system process,1,0.0024,2,6.00E-04,
automation,3,0.0072,5,0.0014,
automation tools,1,0.0024,1,3.00E-04,y
autonomous,1,0.0024,4,0.0012,
autonomous environment,1,0.0024,2,6.00E-04,
autonomy,1,0.0024,2,6.00E-04,
aws,6,0.0144,3,9.00E-04,y
aws sagemaker,1,0.0024,1,3.00E-04,
azure,7,0.0167,13,0.0037,y
azure data,2,0.0048,3,9.00E-04,
azure data ecosystem,1,0.0024,1,3.00E-04,
azure data factory,1,0.0024,1,3.00E-04,
azure devops,1,0.0024,1,3.00E-04,y
bachelor,13,0.0311,4,0.0012,
bachelors,1,0.0024,3,9.00E-04,
bachelors masters,1,0.0024,2,6.00E-04,
bachelors masters degree,1,0.0024,1,3.00E-04,
backend,1,0.0024,4,0.0012,
backend technologies,1,0.0024,2,6.00E-04,
background,3,0.0072,3,9.00E-04,
balance,2,0.0048,3,9.00E-04,
balance long,1,0.0024,1,3.00E-04,
balance risk,1,0.0024,1,3.00E-04,
bandits,2,0.0048,1,3.00E-04,
based,8,0.0191,23,0.0066,
based labs,1,0.0024,2,6.00E-04,
based ml,1,0.0024,4,0.0012,
based ml libraries,1,0.0024,2,6.00E-04,
based reasoning,1,0.0024,2,6.00E-04,
based recommendations,1,0.0024,1,3.00E-04,
based software,1,0.0024,4,0.0012,
based software delivery,1,0.0024,2,6.00E-04,
bayes,2,0.0048,2,6.00E-04,y
beginning,1,0.0024,1,3.00E-04,
behavior,2,0.0048,7,0.002,
behavior can,1,0.0024,1,3.00E-04,
behavior patterns,1,0.0024,3,9.00E-04,
being,1,0.0024,4,0.0012,
being made,1,0.0024,2,6.00E-04,
bert,2,0.0048,1,3.00E-04,
best,1,0.0024,8,0.0023,
best practices,1,0.0024,4,0.0012,
bi,82,0.1962,63,0.0181,y
bi tools,2,0.0048,3,9.00E-04,y
bi tools including,1,0.0024,2,6.00E-04,
bi tools including excel,1,0.0024,1,3.00E-04,
bibliometric,1,0.0024,6,0.0017,
bibliometric analysis,1,0.0024,4,0.0012,
bibliometric analysis tools,1,0.0024,2,6.00E-04,
big,9,0.0215,21,0.006,
big data,6,0.0144,11,0.0032,y
big data challenges,1,0.0024,2,6.00E-04,
big data experience,1,0.0024,1,3.00E-04,y
big data parallel,1,0.0024,3,9.00E-04,
big data parallel processing,1,0.0024,2,6.00E-04,y
big data parallel processing frameworks,1,0.0024,1,3.00E-04,y
big data technologies,1,0.0024,2,6.00E-04,
big plus,1,0.0024,1,3.00E-04,
bioinformatics,1,0.0024,1,3.00E-04,
biology,1,0.0024,2,6.00E-04,
boosted,1,0.0024,4,0.0012,
boosted trees,1,0.0024,2,6.00E-04,
box,1,0.0024,3,9.00E-04,
box thinker,1,0.0024,2,6.00E-04,
box thinker who,1,0.0024,1,3.00E-04,
bricks,2,0.0048,9,0.0026,
bricks snowflake,1,0.0024,4,0.0012,
briefings,1,0.0024,2,6.00E-04,
broad,1,0.0024,2,6.00E-04,
broad range,1,0.0024,1,3.00E-04,
bu,45,0.1077,97,0.0279,
bucket,1,0.0024,2,6.00E-04,
budgets,1,0.0024,2,6.00E-04,
bugs,1,0.0024,1,3.00E-04,
build,13,0.0311,36,0.0104,
build containerized,1,0.0024,2,6.00E-04,
build containerized microservices,1,0.0024,1,3.00E-04,y
build effective,1,0.0024,3,9.00E-04,
build effective working,1,0.0024,2,6.00E-04,
build effective working relationships,1,0.0024,1,3.00E-04,y
build positive,1,0.0024,2,6.00E-04,
build positive relationships,1,0.0024,1,3.00E-04,y
building,9,0.0215,28,0.0081,
building data,1,0.0024,4,0.0012,
building data pipelines,1,0.0024,2,6.00E-04,y
building deep,1,0.0024,3,9.00E-04,
building deep neural,1,0.0024,2,6.00E-04,
building deep neural networks,1,0.0024,1,3.00E-04,y
building process,1,0.0024,4,0.0012,
building solutions,1,0.0024,7,0.002,
building solutions using,1,0.0024,5,0.0014,
building solutions using rules,1,0.0024,3,9.00E-04,
building solutions using rules engines,1,0.0024,1,3.00E-04,
building statistical,1,0.0024,1,3.00E-04,
business,22,0.0526,39,0.0112,
business action,1,0.0024,1,3.00E-04,
business analysis,1,0.0024,1,3.00E-04,y
business decision,1,0.0024,4,0.0012,
business decision making,1,0.0024,2,6.00E-04,y
business impact,2,0.0048,3,9.00E-04,
business insights,1,0.0024,2,6.00E-04,
business intelligence,2,0.0048,1,3.00E-04,y
business objectives,2,0.0048,2,6.00E-04,
business problems,1,0.0024,2,6.00E-04,
business questions,1,0.0024,3,9.00E-04,
business recommendations,1,0.0024,1,3.00E-04,
business results,1,0.0024,1,3.00E-04,
business sense,1,0.0024,1,3.00E-04,
business stakeholders,1,0.0024,1,3.00E-04,
business strategy,1,0.0024,2,6.00E-04,y
calculus,1,0.0024,1,3.00E-04,y
can,9,0.0215,21,0.006,
can effectively,1,0.0024,2,6.00E-04,
can effectively communicate,1,0.0024,1,3.00E-04,
can identify,1,0.0024,1,3.00E-04,
candidate,1,0.0024,5,0.0014,
candidate demonstrates,1,0.0024,4,0.0012,
candidate demonstrates strong,1,0.0024,3,9.00E-04,
candidate demonstrates strong problem,1,0.0024,2,6.00E-04,
candidate demonstrates strong problem solving,1,0.0024,1,3.00E-04,
capabilities,2,0.0048,4,0.0012,
capability,1,0.0024,1,3.00E-04,
capture,1,0.0024,1,3.00E-04,
cards,1,0.0024,2,6.00E-04,
caret,1,0.0024,1,3.00E-04,
carlo,2,0.0048,2,6.00E-04,
causal,2,0.0048,3,9.00E-04,
causal inference,2,0.0048,2,6.00E-04,y
causal inference models,1,0.0024,1,3.00E-04,y
cd,2,0.0048,6,0.0017,
cd concepts,1,0.0024,2,6.00E-04,
cd processes,1,0.0024,2,6.00E-04,
center,1,0.0024,6,0.0017,
challenges,4,0.0096,9,0.0026,
change,3,0.0072,6,0.0017,
change anomaly,1,0.0024,2,6.00E-04,
change anomaly detection,1,0.0024,1,3.00E-04,
changes,2,0.0048,3,9.00E-04,
changes being,1,0.0024,2,6.00E-04,
changes being made,1,0.0024,1,3.00E-04,
chatbot,1,0.0024,2,6.00E-04,
chatbot technologies,1,0.0024,1,3.00E-04,y
chi,35,0.0837,41,0.0118,
chi squared,1,0.0024,1,3.00E-04,y
choice,1,0.0024,1,3.00E-04,
churn,1,0.0024,2,6.00E-04,
ci,93,0.2225,149,0.0428,y
ci cd,2,0.0048,3,9.00E-04,
ci cd concepts,1,0.0024,1,3.00E-04,y
ci cd processes,1,0.0024,1,3.00E-04,y
ci poly,1,0.0024,1,3.00E-04,
clarity,1,0.0024,1,3.00E-04,
class,6,0.0144,12,0.0035,
class instruction,1,0.0024,1,3.00E-04,
classical,1,0.0024,3,9.00E-04,
classical statistics,1,0.0024,2,6.00E-04,y
classical statistics methods,1,0.0024,1,3.00E-04,
classification,3,0.0072,2,6.00E-04,y
classified,1,0.0024,5,0.0014,
clean,3,0.0072,7,0.002,
cleaning,2,0.0048,6,0.0017,
cleaning wrangling,1,0.0024,4,0.0012,y
cleaning wrangling normalization,1,0.0024,2,6.00E-04,
clear,5,0.012,15,0.0043,
clear communication,1,0.0024,2,6.00E-04,y
clear communication style,1,0.0024,1,3.00E-04,
clearance,2,0.0048,8,0.0023,
clearance required,1,0.0024,4,0.0012,
clearly,1,0.0024,4,0.0012,
client,8,0.0191,17,0.0049,
client business,1,0.0024,2,6.00E-04,
client business objectives,1,0.0024,1,3.00E-04,
client deliverable,1,0.0024,6,0.0017,
client deliverable quality,1,0.0024,4,0.0012,
client deliverable quality documentation,1,0.0024,2,6.00E-04,
client plans,1,0.0024,2,6.00E-04,
clients,3,0.0072,4,0.0012,
closely,1,0.0024,2,6.00E-04,
cloud,10,0.0239,19,0.0055,
cloud computing,2,0.0048,1,3.00E-04,y
cloud data,1,0.0024,4,0.0012,y
cloud data lake,1,0.0024,3,9.00E-04,
cloud data lake warehouse,1,0.0024,2,6.00E-04,
cloud data lake warehouse tech,1,0.0024,1,3.00E-04,
cloud environment,3,0.0072,4,0.0012,
cloud environments,2,0.0048,3,9.00E-04,
cloud environments including,1,0.0024,2,6.00E-04,
cloud environments including azure,1,0.0024,1,3.00E-04,
cloud platform,1,0.0024,4,0.0012,y
cloud platform ai,1,0.0024,3,9.00E-04,y
cloud platform ai ml,1,0.0024,2,6.00E-04,
cloud platform ai ml toolsets,1,0.0024,1,3.00E-04,
cloud technologies,1,0.0024,1,3.00E-04,
cluster,5,0.012,7,0.002,
cluster analysis,1,0.0024,1,3.00E-04,y
clustering,4,0.0096,5,0.0014,y
clustering segmentation,1,0.0024,1,3.00E-04,y
clv,1,0.0024,2,6.00E-04,
clv model,1,0.0024,1,3.00E-04,
cnn,2,0.0048,2,6.00E-04,y
cnns,1,0.0024,1,3.00E-04,
coaching,1,0.0024,1,3.00E-04,
code,4,0.0096,10,0.0029,
code control,1,0.0024,2,6.00E-04,
code repositories,1,0.0024,2,6.00E-04,y
coding,3,0.0072,3,9.00E-04,y
coding using,1,0.0024,1,3.00E-04,
cognos,1,0.0024,2,6.00E-04,y
collaborate,3,0.0072,1,3.00E-04,
collaborating,1,0.0024,1,3.00E-04,
collaboration,2,0.0048,4,0.0012,
collaborative,6,0.0144,8,0.0023,
collaborative environment,1,0.0024,1,3.00E-04,
collaborative filtering,1,0.0024,1,3.00E-04,y
collaborative mindset,1,0.0024,1,3.00E-04,
collaboratively,1,0.0024,2,6.00E-04,
collected,1,0.0024,1,3.00E-04,
collecting,1,0.0024,2,6.00E-04,
collecting structured,1,0.0024,1,3.00E-04,
collection,1,0.0024,2,6.00E-04,
combination,1,0.0024,2,6.00E-04,
comfort,4,0.0096,4,0.0012,
comfort working,1,0.0024,1,3.00E-04,
comfortable,3,0.0072,2,6.00E-04,
comfortable working,1,0.0024,1,3.00E-04,
command,1,0.0024,2,6.00E-04,
command line,1,0.0024,1,3.00E-04,
commercial,2,0.0048,2,6.00E-04,
commercial environment,1,0.0024,1,3.00E-04,
common,3,0.0072,17,0.0049,
common ai,1,0.0024,7,0.002,
common ai frameworks,1,0.0024,3,9.00E-04,y
common methods,1,0.0024,1,3.00E-04,
commonly,1,0.0024,5,0.0014,
communicate,9,0.0215,15,0.0043,
communicate complex,1,0.0024,3,9.00E-04,
communicate complex issues,1,0.0024,2,6.00E-04,y
communicate complex issues ideas,1,0.0024,1,3.00E-04,
communicate data,2,0.0048,7,0.002,
communicate data insights,1,0.0024,1,3.00E-04,y
communicate data product,1,0.0024,4,0.0012,
communicate data product architectures,1,0.0024,2,6.00E-04,
communicate effectively,1,0.0024,1,3.00E-04,y
communicate performance,1,0.0024,1,3.00E-04,
communication,24,0.0574,19,0.0055,y
communication center,1,0.0024,2,6.00E-04,
communication style,1,0.0024,2,6.00E-04,
communications,1,0.0024,1,3.00E-04,
community,1,0.0024,2,6.00E-04,
company,1,0.0024,2,6.00E-04,
compelling,2,0.0048,5,0.0014,
compelling story,1,0.0024,4,0.0012,
compelling story using,1,0.0024,3,9.00E-04,
compelling story using analytics,1,0.0024,2,6.00E-04,
compelling story using analytics relevant,1,0.0024,1,3.00E-04,
competitor,1,0.0024,1,3.00E-04,
completing,1,0.0024,3,9.00E-04,
completing delegated,1,0.0024,2,6.00E-04,
completing delegated tasks,1,0.0024,1,3.00E-04,
complex,12,0.0287,38,0.0109,
complex analyses,1,0.0024,4,0.0012,
complex analyses clearly,1,0.0024,2,6.00E-04,
complex business,1,0.0024,4,0.0012,
complex business questions,1,0.0024,2,6.00E-04,
complex data,2,0.0048,3,9.00E-04,
complex designs,1,0.0024,1,3.00E-04,
complex issues,1,0.0024,4,0.0012,
complex issues ideas,1,0.0024,2,6.00E-04,
complex models,1,0.0024,2,6.00E-04,
complex problems,1,0.0024,2,6.00E-04,
complex projects,1,0.0024,3,9.00E-04,
complex stakeholder,1,0.0024,4,0.0012,
complex stakeholder relationships,1,0.0024,2,6.00E-04,
complicated,1,0.0024,3,9.00E-04,
composing,1,0.0024,5,0.0014,
composing client,1,0.0024,4,0.0012,
composing client deliverable,1,0.0024,3,9.00E-04,
composing client deliverable quality,1,0.0024,2,6.00E-04,
composing client deliverable quality documentation,1,0.0024,1,3.00E-04,
comprehension,1,0.0024,2,6.00E-04,
computation,2,0.0048,6,0.0017,
computation techniques,1,0.0024,2,6.00E-04,
computational,1,0.0024,2,6.00E-04,
computational biology,1,0.0024,1,3.00E-04,
computer,17,0.0407,9,0.0026,
computer languages,1,0.0024,3,9.00E-04,
computer programming,1,0.0024,1,3.00E-04,y
computer science,13,0.0311,1,3.00E-04,
computer vision,2,0.0048,1,3.00E-04,
computing,3,0.0072,5,0.0014,
computing environments,1,0.0024,2,6.00E-04,
concept,11,0.0263,14,0.004,
concept development,1,0.0024,1,3.00E-04,
concepts,7,0.0167,8,0.0023,
conceptualize,1,0.0024,2,6.00E-04,
conceptualize dashboards,1,0.0024,1,3.00E-04,y
concurrent,1,0.0024,4,0.0012,
concurrent projects,1,0.0024,2,6.00E-04,
conduct,1,0.0024,2,6.00E-04,
conduct analyses,1,0.0024,1,3.00E-04,
conference,1,0.0024,6,0.0017,
conference paper,1,0.0024,3,9.00E-04,
confident,2,0.0048,4,0.0012,
confident individual,1,0.0024,1,3.00E-04,
confidentiality,1,0.0024,2,6.00E-04,
consideration,1,0.0024,1,3.00E-04,
considered,1,0.0024,1,3.00E-04,
consistently,2,0.0048,4,0.0012,
consistently high,1,0.0024,2,6.00E-04,
consistently high standards,1,0.0024,1,3.00E-04,
consolidation,1,0.0024,1,3.00E-04,
constructs,1,0.0024,2,6.00E-04,
consult,2,0.0048,5,0.0014,
consulting,1,0.0024,4,0.0012,y
consulting experience,1,0.0024,2,6.00E-04,
consumer,3,0.0072,11,0.0032,
consumer lending,1,0.0024,2,6.00E-04,
consumer market,1,0.0024,2,6.00E-04,
consumer market research,1,0.0024,1,3.00E-04,
consumer risk,1,0.0024,4,0.0012,
consumer risk management,1,0.0024,2,6.00E-04,
container,3,0.0072,12,0.0035,
container based,1,0.0024,3,9.00E-04,
container based software,1,0.0024,2,6.00E-04,
container based software delivery,1,0.0024,1,3.00E-04,
containerized,2,0.0048,8,0.0023,
containerized environment,1,0.0024,4,0.0012,
containerized environment using,1,0.0024,3,9.00E-04,
containerized environment using common,1,0.0024,2,6.00E-04,
containerized environment using common ai,1,0.0024,1,3.00E-04,
containerized microservices,1,0.0024,2,6.00E-04,
content,1,0.0024,4,0.0012,
content area,1,0.0024,3,9.00E-04,
content area including,1,0.0024,2,6.00E-04,
content area including theory,1,0.0024,1,3.00E-04,
continually,1,0.0024,1,3.00E-04,
continuous,2,0.0048,4,0.0012,
continuous improvement,1,0.0024,2,6.00E-04,
continuous improvement mindset,1,0.0024,1,3.00E-04,
continuous learning,1,0.0024,1,3.00E-04,
contribute,3,0.0072,1,3.00E-04,
contributions,1,0.0024,1,3.00E-04,
control,5,0.012,13,0.0037,
control architectures,1,0.0024,2,6.00E-04,
control development,1,0.0024,1,3.00E-04,
control systems,1,0.0024,2,6.00E-04,
controls,1,0.0024,2,6.00E-04,
conversational,1,0.0024,6,0.0017,
conversational ai,1,0.0024,3,9.00E-04,y
convert,2,0.0048,2,6.00E-04,
convert analytics,1,0.0024,1,3.00E-04,
convey,1,0.0024,4,0.0012,
convey complex,1,0.0024,3,9.00E-04,
convey complex analyses,1,0.0024,2,6.00E-04,
convey complex analyses clearly,1,0.0024,1,3.00E-04,
convolutional,1,0.0024,3,9.00E-04,
convolutional neural,1,0.0024,2,6.00E-04,
convolutional neural networks,1,0.0024,1,3.00E-04,y
core,1,0.0024,4,0.0012,
core business,1,0.0024,3,9.00E-04,
core business decision,1,0.0024,2,6.00E-04,
core business decision making,1,0.0024,1,3.00E-04,
course,3,0.0072,4,0.0012,
course assignments,1,0.0024,1,3.00E-04,
coursework,1,0.0024,1,3.00E-04,
covering,1,0.0024,11,0.0032,
covering risk,1,0.0024,7,0.002,
covering risk models,1,0.0024,3,9.00E-04,
create,7,0.0167,10,0.0029,
create complex,1,0.0024,2,6.00E-04,
create complex models,1,0.0024,1,3.00E-04,
create detailed,1,0.0024,3,9.00E-04,
create detailed mathematical,1,0.0024,2,6.00E-04,
create detailed mathematical models,1,0.0024,1,3.00E-04,y
create models,1,0.0024,1,3.00E-04,
create repeatable,1,0.0024,1,3.00E-04,
create visualizations,1,0.0024,1,3.00E-04,
creates,1,0.0024,1,3.00E-04,
creating,4,0.0096,9,0.0026,
creating insights,1,0.0024,1,3.00E-04,
creating reports,1,0.0024,1,3.00E-04,
creating stored,1,0.0024,2,6.00E-04,
creating stored procedures,1,0.0024,1,3.00E-04,
creating views,1,0.0024,1,3.00E-04,
creating visualizations,1,0.0024,2,6.00E-04,y
creation,2,0.0048,2,6.00E-04,
creative,4,0.0096,7,0.002,
creative problem,1,0.0024,2,6.00E-04,
creative problem solver,1,0.0024,1,3.00E-04,
creatively,2,0.0048,4,0.0012,
creatively tell,1,0.0024,2,6.00E-04,
creatively tell stories,1,0.0024,1,3.00E-04,
credit,7,0.0167,19,0.0055,
credit cards,1,0.0024,1,3.00E-04,
credit data,1,0.0024,3,9.00E-04,
credit data reliability,1,0.0024,2,6.00E-04,
credit data reliability analysis,1,0.0024,1,3.00E-04,
credit performance,1,0.0024,1,3.00E-04,
credit risk,3,0.0072,4,0.0012,
